,HDFS,HDFS_Time,Syslog_PID,Syslog_Time,이벤트_목록(서버로그)
NN_Autoencoder,0.7317392230033875,0.166962131857872,0.24718987941741943,0.3938775658607483,0.07399434596300125
LSTM_Autoencoder,0.8641446828842163,0.29133620858192444,0.34531646966934204,0.3380952477455139,0.3002077639102936
Iso_Auto,0.7967368960380554,0.3195894658565521,0.2063835859298706,0.5744879245758057,0.9186811447143555
Iso_2Auto,"(0.8974542021751404, 0.9150785803794861)","(0.17258109152317047, 0.7115415930747986)","(0.2831392288208008, 1.0)","(0.21768707036972046, 0.8837814331054688)","(0.7174647450447083, 1.0)"
